pl_name,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor,pl_ratror,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,pl_class
55 Cnc e,2,5,0.7365474,0.01544,1.875,0.167,7.99,0.02514,Mass,6.66,0.05,2657.83,1958,83.59,3.52,0.0182,G8 V,5172,0.94,0.91,0.35,-0.197,4.43,10.2,1.41,12.5855,5.95084,4.015,5.72973,Super Earth
CD Cet b,1,1,2.2907,0.0185,1.82,0.162,3.95,0.01243,Msini,3.6,,8.6,464,87.48,,,M5.0 V,3130,0.17,0.16,0.13,-2.533,4.93,3,30.35878,8.60715,13.95,7.833,12.1232,Super Earth
CoRoT-7 b,1,3,0.85359163,0.017016,1.681,0.15,4.07661,0.01283,Mass,9.355,0,,1756,80.1,4.26,0.0187,G9 V,5275,0.83,0.82,0.05,-0.289,4.5,1.8,2,159.906,11.728,9.806,11.5239,Super Earth
DMPP-1 d,1,4,2.882,0.0422,1.65,0.147,3.35,0.01054,Msini,4.1,0.07,,1632,,,,F8 V,6196,1.26,1.21,,0.32,4.41,2.01,0.81281,62.5388,7.98,6.69,7.85032,Super Earth
DMPP-1 e,1,4,5.516,0.0651,1.86,0.166,4.13,0.01299,Msini,3.53,0.07,,1314,,,,F8 V,6196,1.26,1.21,,0.32,4.41,2.01,0.81281,62.5388,7.98,6.69,7.85032,Super Earth
DMPP-3 A b,2,1,6.6732,0.0662,1.41,0.126,2.58,0.00812,Msini,5.06,0.14,,854,,,,K0 V,5138,0.91,0.87,0.18,-0.293,4.3,10.9,,45.23,9.066,7.061,8.854298,Super Earth
EPIC 201170410.02,1,1,6.7987,0.0349,1.047,0.093,1.15,0.0036,M-R relationship,5.51,0,,,89.002,,0.034,M,3648,0.28,0.29,-0.048,-1.9,5,,,134,17.6984,12.619,16.4386,Super Earth
EPIC 201238110 b,1,1,28.1656,0.1346,1.87,0.167,4.16,0.0131,M-R relationship,3.5,,,,,61.5,0.0458,M,3587,0.37,0.41,,-1.508,4.78,,6.73294,159.259,16.014,11.933,15.2612,Super Earth
EPIC 201427007 b,1,1,0.72091,0.01535,1.5,0.134,2.86,0.00899,M-R relationship,4.66,,,,88.5,3.1,0.0142,G,5633,0.94,0.93,-0.053,-0.049,4.4,,1.02055,706.391,14.321,12.581,14.147,Super Earth
EPIC 201497682 b,1,1,2.13174,0.029839,0.692,0.062,0.26,0.00082,M-R relationship,4.31,,,,,,0.0115,K,4991,0.55,0.78,-0.089,-0.766,4.63,,3.22926,253.026,13.948,11.438,13.7368,Terrestrial
EPIC 201595106 b,1,1,0.877214,0.01805,1.3,0.116,2.24,0.00705,M-R relationship,5.6,,,1874,89.2,5.8,0.0126,G,5820,0.93,1.02,-0.01,-0.026,4.6,,1.47541,232.1,11.746,10.218,11.6477,Super Earth
EPIC 201615463 c,1,2,3.80464,0.04878,1.22,0.109,1.98,0.00624,M-R relationship,5.99,,,,,,0.0093,F,5942.5,1.6,1.07,-0.051,0.458,4.09,,0.42293,476.882,12.081,10.637,11.9456,Super Earth
EPIC 201754305 d,1,3,2.71578,0.0333,1.03,0.092,1.08,0.0034,M-R relationship,5.43,,,,,,0.015,K3 V,4761,0.54,0.67,-0.33,-0.761,4.63,,2.95996,334.967,14.668,12.087,14.3234,Super Earth
EPIC 201757695.02,1,1,2.0478,0.0296,0.908,0.081,0.688,0.00217,M-R relationship,5.05,0,,,89.276,,0.0127,,4520,0.66,0.73,-0.003,-0.364,4.66,,,577.6,14.974,12.149,,Terrestrial
EPIC 201833600 c,1,2,3.96151,0.041554,1,0.089,0.972,0.00306,M-R relationship,5.34,,,,,12.4,0.0168,,4292.67,0.63,0.61,-0.113,-0.874,4.74,,2.55179,257.443,14.705,11.664,14.2575,Terrestrial
EPIC 201841433 b,1,1,4.1698,0.035,1.04,0.093,1.12,0.00352,M-R relationship,5.47,,,,89.001,11.5,0.0152,,5053,0.63,0.8,0,-0.635,4.59,,2.65207,436.488,14.983,12.454,14.5885,Super Earth
EPIC 205950854 c,1,2,8.050722,0.07533,1.31,0.117,2.27,0.00714,M-R relationship,5.55,,,961,89.81,16.18,0.01258,,5502.7,0.83,0.88,-0.13,-0.176,4.39,,1.2704,243.935,12.365,10.549,12.0976,Super Earth
EPIC 206024342 b,1,3,4.50756,0.05212,1.7,0.152,3.53,0.0111,M-R relationship,3.95,,,,,13.9,0.0147,,5724,0.82,0.93,-0.22,-0.17,4.59,,2.3828,369.888,13.096,11.487,12.9682,Super Earth
EPIC 206024342 c,1,3,0.911724,0.017961,1.4,0.125,2.54,0.008,M-R relationship,5.09,,,,91.7,4.7,0.0117,,5724,1.1,0.93,-0.22,-0.17,4.5,,2.3828,369.888,13.096,11.487,12.9682,Super Earth
EPIC 206032309 b,1,1,2.87814,0.0239,1.01,0.09,1.01,0.00317,M-R relationship,5.39,,,,,,0.0405,,3489,0.37,0.22,,-1.73,4.85,,9.77858,161.365,17.89,12.538,16.0689,Super Earth
EPIC 206042996 b,1,2,5.2986,0.049317,1.7,0.152,3.53,0.0111,M-R relationship,3.95,,,,90.5,16,0.0303,,4114,0.5,0.57,0.006,-0.98,4.8,,2.90458,451.769,16.59,13.071,15.9752,Super Earth
EPIC 206042996 c,1,2,0.354884,0.008133,1.2,0.107,1.87,0.00588,M-R relationship,5.95,,,,89.9,2.6,0.0223,,4114,0.5,0.57,0.006,-0.98,4.8,,2.90458,451.769,16.59,13.071,15.9752,Super Earth
EPIC 206215704 b,1,1,2.255436,0.025004,1,0.089,0.972,0.00306,M-R relationship,5.34,,,,89.9,17,0.0383,,3297,0.25,0.41,-0.33,-2.088,4.9,,19.87982,109.888,17.83,12.767,16.1722,Terrestrial
EPIC 206317286 b,1,2,1.58252,0.023709,0.96,0.086,0.84,0.00264,M-R relationship,5.22,,,,,6.1,0.0133,,4864,0.67,0.71,0.019,-0.593,4.6,,2.51975,314.35,14.005,11.635,13.774,Terrestrial
EPIC 206317286 c,1,2,17.515472,0.12404,2.094,0.187,5.03,0.0158,M-R relationship,3.01,,,,,34.54,0.0253,,4752,0.76,0.83,0.019,-0.593,4.6,,2.51975,314.35,14.005,11.635,13.774,Super Earth
EPIC 211822797 b,1,1,21.1701963,0.1195,1.92,0.171,4.35,0.0137,M-R relationship,3.38,0.06,3.5,431,89.73,44.37,0.0303,M0,4057,0.58,0.62,0.2,-1.153,4.7,0.79,3.87972,186.197,15.133,11.429,14.5263,Super Earth
EPIC 212297394 b,1,2,2.289363,0.031947,1.48,0.132,2.79,0.00879,M-R relationship,4.73,,,1149,,8.53,0.0169,,5171,0.8,0.83,-0.03,-0.505,4.55,,2.50384,418.395,14.611,12.186,14.1864,Super Earth
EPIC 212499991 b,1,1,34.885,0.20247,1.6,0.143,3.19,0.01,M-R relationship,4.28,,,,,,0.0193,,4982.79,0.76,0.91,,-0.497,4.61,,2.81669,283.29,13.672,11.366,13.3118,Super Earth
EPIC 212587672 b,1,2,15.28078,0.120109,1.26,0.112,2.13,0.00669,M-R relationship,5.85,,,756,,30.75,0.0117,,6004,0.98,0.99,-0.18,0.006,4.45,,1.85888,320.07,12.488,10.857,12.2038,Super Earth
EPIC 212624936 b,1,2,0.578657,0.01358,1.2,0.107,1.87,0.00588,M-R relationship,5.95,,,,90.3,3,0.0114,,5765,0.93,1,-0.39,-0.124,4.4,,1.85537,561.929,13.976,12.292,13.8326,Super Earth
EPIC 220492298 b,1,1,0.762406,0.016055,0.99,0.088,0.937,0.00295,M-R relationship,5.31,,,,92.6,3.2,0.01,,5620,0.89,0.95,0.28,-0.009,4.5,,0.97092,624.512,13.991,12.168,13.7756,Terrestrial
EPIC 220554210 c,1,2,0.70531,0.01519,1.6,0.143,3.19,0.01,M-R relationship,4.28,,,,91.3,3,0.0145,,5499,1,0.94,-0.23,-0.215,4.5,,1.442,496.289,14.21,12.002,13.8183,Super Earth
EPIC 220674823 b,1,2,0.571292,0.01326,1.725,0.154,8.21,0.02583,Mass,8.77,0,4670,2300,86.4,2.892,0.01601,G5 V,5532,0.99,0.95,0.11,-0.119,4.45,7.5,1.35,244.59,12.101,10.344,11.9535,Super Earth
EPIC 228836835 b,1,1,0.728113,0.01186,1.1,0.098,1.37,0.0043,M-R relationship,5.66,,,932,89.7,6.4,0.0299,,3782,0.32,0.42,-0.18,-1.612,5,,7.73989,150.124,16.77,12.02,15.4185,Super Earth
EPIC 229004835 b,1,1,16.141132,0.1237,2.332,0.208,10.4,0.03272,Mass,4.49,0.23,69.7,804,88.08,54.6,0.0184,,5868,1,0.97,-0.12,0.03,4.47,4.9,1.52564,121.971,10.23,8.725,10.0494,Super Earth
EPIC 249893012 b,1,3,3.5951,0.047,1.95,0.174,8.75,0.02753,Mass,6.39,0.06,1037,1616,86.14,5.93,0.0104,G8 IV/V,5430,1.71,1.05,0.2,0.356,3.99,9,0.298,321.296,11.429,9.714,11.4019,Super Earth
G 264-012 b,1,2,2.30538,0.02279,1.39,0.124,2.5,0.00787,Msini,5.12,,20.5,587,,,,M4.0 V,3326,0.3,0.3,0.1,-1.972,4.85,,13.25922,16.009,13.078,7.986,11.7617,Super Earth
G 264-012 c,1,2,8.0518,0.0525,1.76,0.157,3.75,0.0118,Msini,3.78,,3.87,387,,,,M4.0 V,3326,0.3,0.3,0.1,-1.972,4.85,,13.25922,16.009,13.078,7.986,11.7617,Super Earth
GJ 1002 b,1,2,10.3465,0.0457,1.03,0.092,1.08,0.0034,Msini,5.43,,0.67,231,,,,M5.5 V,3024,0.14,0.12,-0.25,-2.852,5.1,,55.44255,4.84867,13.76,7.439,11.7804,Super Earth
GJ 1002 c,1,2,21.202,0.0738,1.1,0.098,1.36,0.00428,Msini,5.61,,0.26,182,,,,M5.5 V,3024,0.14,0.12,-0.25,-2.852,5.1,,55.44255,4.84867,13.76,7.439,11.7804,Super Earth
GJ 1061 b,1,3,3.204,0.021,1.1,0.098,1.37,0.00431,Msini,5.66,0.31,3.8,,,,,M5.5 V,2953,0.16,0.12,-0.08,-2.77,5.16,7,47.5619,3.67278,12.7,6.61,10.9889,Super Earth
GJ 1061 c,1,3,6.689,0.035,1.18,0.105,1.74,0.00547,Msini,5.82,0.29,1.4,,,,,M5.5 V,2953,0.16,0.12,-0.08,-2.77,5.16,7,47.5619,3.67278,12.7,6.61,10.9889,Super Earth
GJ 1061 d,1,3,13.031,0.054,1.16,0.103,1.64,0.00516,Msini,5.77,0.53,0.6,,,,,M5.5 V,2953,0.16,0.12,-0.08,-2.77,5.16,7,47.5619,3.67278,12.7,6.61,10.9889,Super Earth
GJ 1132 b,1,2,1.628931,0.0153,1.13,0.101,1.66,0.00522,Mass,6.3,0.22,20.96,529,86.58,16,0.05041,M4.5 V,3270,0.21,0.18,-0.12,-2.359,4.88,5,15.4,12.613,13.68,8.322,12.138,Super Earth
GJ 1132 c,1,2,8.929,0.0476,1.43,0.128,2.64,0.00831,Msini,4.96,0.27,,300,,,,M4.5 V,3270,0.21,0.18,-0.12,-2.359,5.02,5,23.78462,12.613,13.68,8.322,12.138,Super Earth
GJ 1252 b,1,1,0.5182331,0.00915,1.193,0.106,1.32,0.00415,Mass,4.2,0,233,1089,85,5.03,0.02802,M3,3325,0.39,0.38,0.1,-1.708,4.89,3.9,8.99304,20.373,12.68,7.915,11.2364,Super Earth
GJ 15 A b,2,2,11.4407,0.072,1.55,0.139,3.03,0.00953,Msini,4.47,0.094,,550,,,,M1,3607,0.38,0.38,-0.34,-1.655,4.87,,8.37411,3.56228,8.09,4.018,7.2162,Super Earth
GJ 2030 b,1,2,2.38129,0.034,2.03,0.181,4.76743,0.015,Msini,3.13,0.239,,,,,,,5485,2.24,0.96,-0.4,0.612,3.72,,0.12025,37.0788,6.20902,4.417,6.02088,Super Earth
GJ 251 b,1,1,14.238,0.0818,1.83,0.163,4,0.01259,Msini,3.59,0.1,2.53,351,,,,M3.0 V,3451,0.36,0.36,-0.03,-1.772,4.96,,10.05319,5.58057,9.89,5.275,8.85518,Super Earth
GJ 273 b,1,2,18.6498,0.091101,1.51,0.135,2.89,0.00909,Msini,4.61,0.1,1.06,,,,,M3.5,3382,0.29,0.29,0.09,-2.056,4.91,,13.19438,5.921535,9.84,4.857,,Super Earth
GJ 273 c,1,2,4.7234,0.036467,1.06,0.094,1.18,0.00371,Msini,5.44,0.17,6.66,,,,,M3.5,3382,0.29,0.29,0.09,-2.056,4.91,,13.19438,5.921535,9.84,4.857,,Super Earth
GJ 3138 b,1,3,1.22003,0.0197,1.18,0.106,1.78,0.0056,Msini,5.95,0.19,118.1,,,,,M0,3717,0.5,0.68,-0.3,-1.347,4.63,,3.47127,28.4712,10.8275,7.246,10.1924,Super Earth
GJ 3138 c,1,3,5.974,0.057,1.88,0.167,4.18,0.01315,Msini,3.46,0.11,13.9,,,,,M0,3717,0.5,0.68,-0.3,-1.347,4.63,,3.47127,28.4712,10.8275,7.246,10.1924,Super Earth
GJ 3293 e,1,4,13.2543,0.08208,1.63,0.145,3.28,0.01032,Msini,4.16,0.21,3.34,,,,,M2.5,3466,0.4,0.42,0.02,-1.658,4.78,,6.89996,20.1903,11.945,7.486,10.9788,Super Earth
GJ 3323 b,1,2,5.3636,0.03282,1.23,0.109,2.02,0.00636,Msini,5.96,0.23,2.58,,,,,M4,3159,0.12,0.16,-0.27,-2.569,,,,5.37484,12.57,6.736,10.6467,Super Earth
GJ 3323 c,1,2,40.54,0.1264,1.32,0.118,2.31,0.00727,Msini,5.52,0.17,0.17,,,,,M4,3159,0.12,0.16,-0.27,-2.569,,,,5.37484,12.57,6.736,10.6467,Super Earth
GJ 3473 b,2,2,1.1980035,0.01589,1.264,0.113,1.86,0.00585,Mass,5.03,0,59.4,773,87.95,9.39,0.03184,M4,3347,0.36,0.36,0.11,-1.824,4.81,,10.93,27.3644,13.74,8.829001,12.465,Super Earth
GJ 357 b,1,3,3.93072,0.035,1.217,0.109,1.84,0.00579,Mass,5.6,,12.6,525,89.12,22.31,0.0331,M2.5 V,3505,0.34,0.34,-0.12,-1.798,4.94,,13.6,9.44181,10.91,6.475,9.88036,Super Earth
GJ 357 c,1,3,9.1247,0.061,1.66,0.148,3.4,0.0107,Msini,4.08,,4.45,401,,,,M2.5 V,3505,0.34,0.34,-0.12,-1.798,4.94,,13.6,9.44181,10.91,6.475,9.88036,Super Earth
GJ 367 b,1,1,0.321962,0.0071,0.718,0.064,0.546,0.00172,Mass,8.106,0,469.44,1745,80.75,3.41,0.0143,M1.0 V,3522,0.46,0.45,-0.01,-1.541,4.78,,6.6849,9.41263,10.153,5.78,9.15159,Terrestrial
GJ 3929 b,1,2,2.616235,0.0252,1.09,0.097,1.75,0.00551,Mass,7.3,0,17.3,568,88.442,16.8,0.0156,M3.5 V,3384,0.32,0.31,-0.02,-1.963,4.89,7.1,13.3,15.8095,12.675,7.869,11.5109,Super Earth
GJ 393 b,1,1,7.02679,0.05402,1.17,0.104,1.71,0.00538,Msini,5.87,,9.21,485,,,,M2.0 V,3579,0.43,0.43,-0.09,-1.571,4.88,,7.43568,7.03149,9.65,5.311,8.67373,Super Earth
GJ 3998 b,1,2,2.64977,0.029,1.38,0.123,2.47,0.00777,Msini,5.16,0,,,,,,M1,3722,0.49,0.5,-0.16,-1.387,4.77,,5.18823,18.1459,10.844,6.816,9.98337,Super Earth
GJ 411 b,1,2,12.9394,0.07879,1.45,0.129,2.69,0.00846,Msini,4.85,0.063,3.13,350,,,,M1.5 V,3719,0.37,0.39,-0.362,-1.71,4.9,8.047,9.60131,5.675773,7.49,3.501,,Super Earth
GJ 486 b,1,1,1.467119,0.01734,1.305,0.116,2.82,0.00887,Mass,7,0.05,40.3,701,88.4,,,M3.5 V,3340,0.33,0.32,0.07,-1.917,4.89,,12.10824,8.07426,11.39,6.362,10.094,Super Earth
GJ 581 e,1,3,3.149,0.02815,1.17,0.104,1.7,0.0053,Msini,5.83,0,,,,,,M3 V,3396,0.33,0.31,-0.088,-1.885,4.89,4.3,12.22384,6.2981,10.57,5.837,9.411,Super Earth
GJ 625 b,1,1,14.628,0.078361,1.49,0.133,2.82,0.00887,Msini,4.68,0.13,,,,,,M2,3499,0.31,0.3,-0.38,-1.894,4.94,,11.72633,6.47249,10.066,5.833,9.13702,Super Earth
GJ 667 C c,3,5,28.14,0.125,1.77,0.158,3.8,0.012,Msini,3.77,0.02,,,,,,M1.5 V,3350,,0.33,-0.55,-1.863,4.69,2,,7.24396,10.602,6.036,9.38033,Super Earth
GJ 667 C e,3,5,62.24,0.213,1.45,0.129,2.7,0.008,Msini,4.87,0.02,,,,,,M1.5 V,3350,,0.33,-0.55,-1.863,4.69,2,,7.24396,10.602,6.036,9.38033,Super Earth
GJ 667 C f,3,5,39.026,0.156,1.45,0.129,2.7,0.008,Msini,4.87,0.03,,,,,,M1.5 V,3350,,0.33,-0.55,-1.863,4.69,2,,7.24396,10.602,6.036,9.38033,Super Earth
GJ 667 C g,3,5,256.2,0.549,1.99,0.177,4.6,0.014,Msini,3.21,0.08,,,,,,M1.5 V,3350,,0.33,-0.55,-1.863,4.69,2,,7.24396,10.602,6.036,9.38033,Super Earth
GJ 676 A d,2,4,3.60076,0.039,1.78,0.159,3.81394,0.012,Msini,3.72,0.192,,,,,,M0 V,4006.03,0.65,0.63,0.23,-1.043,4.61,,3.23229,16.0272,9.58,5.825,8.86517,Super Earth
GJ 682 b,1,2,17.478,0.08,1.93,0.173,4.4,0.01384,Msini,3.36,0.08,,,,,,M3.5 V,3028,0.3,0.27,,-2.699,4.93,,14.59297,5.00671,10.94,5.606,9.57025,Super Earth
GJ 740 b,1,1,2.37756,0.029,1.53,0.137,2.96,0.00931,Msini,4.54,0.24,79,829,,,,M1.0 V,3913,0.56,0.58,0.08,-1.206,4.68,,4.01176,11.1017,9.22,5.357,8.45636,Super Earth
GJ 849 c,1,2,5990,4.95,1.01,0.09,0.99,0.00311,Msini,5.28,0.092,,,,,,M3.5,3562.68,0.47,0.5,0.09,-1.59,4.8,3,6.51372,8.80058,10.41,5.594,9.2245,Super Earth
GJ 887 b,1,2,9.262,0.068,1.88,0.168,4.2,0.01321,Msini,3.47,0,7.95,468,,,,M1 V,3688,0.47,0.49,-0.06,-1.434,4.78,2.88,6.05563,3.29,7.56,3.465,6.52199,Super Earth
GJ 9827 b,1,3,1.2089819,0.0188,1.577,0.141,5.14,0.01617,Mass,7.19,0.063,318,1175,86.07,6.719,0.02396,K6 V,4305,0.6,0.61,-0.26,-0.942,4.66,10,3.97,29.661,10.37,7.193,9.83773,Super Earth
GJ 9827 c,1,3,3.648096,0.03925,1.241,0.111,1.3,0.00409,Mass,3.7,0.094,73,813,88.19,14.035,0.01887,K6 V,4305,0.6,0.61,-0.26,-0.942,4.66,10,3.76,29.661,10.37,7.193,9.83773,Super Earth
HD 106315 b,1,2,9.55237,0.0907,2.44,0.218,12.6,0.03964,Mass,4.7,0.093,240,1153,87.54,15.07,0.01728,F5 V,6327,1.3,1.09,-0.311,0.35,4.25,4.48,0.97706,109.353,8.951,7.853,8.88841,Super Earth
HD 108236 b,1,5,3.795963,0.04527,1.615,0.144,3.24,0.0102,M-R relationship,4.23,0.045,312.18,1099,87.59,11.35,0.01638,G3 V,5660,0.88,0.87,-0.28,-0.15,4.49,6.7,1.82,64.5978,9.25,7.637,9.08745,Super Earth
HD 108236 c,1,5,6.203449,0.062,2.071,0.185,4.94,0.0155,M-R relationship,3.06,0.034,162.17,932,88.3,15.78,0.02134,G3 V,5660,0.88,0.87,-0.28,-0.15,4.49,6.7,1.82,64.5978,9.25,7.637,9.08745,Super Earth
HD 108236 f,1,5,29.54115,0.1758,2.017,0.18,4.72,0.0149,M-R relationship,3.16,0.051,,,88.963,,,G3 V,5660,0.88,0.87,-0.28,-0.15,4.49,6.7,1.82,64.5978,9.25,7.637,9.08745,Super Earth
HD 136352 b,1,3,11.57797,0.0964,1.664,0.148,4.72,0.01485,Mass,5.623888,0,111.6,905,88.49,19.6,0.01442,G4 V,5664,1.06,0.87,-0.24,0.016,4.39,12.3,1.03481,14.682,5.65,4.159,5.48495,Super Earth
HD 137496 b,1,2,1.62116,0.02732,1.31,0.117,4.04,0.01271,Mass,10.49,0,,2130,85.8,3.7,0.0076,G,5799,1.59,1.04,-0.03,0.366,4.05,8.3,0.259,155.317,9.899,8.244,9.77168,Super Earth
HD 15337 b,1,2,4.75615,0.0522,1.64,0.146,7.51,0.02363,Mass,9.3,0.09,161.73,1001,88.5,13.11,0.01761,K1 V,5125,0.86,0.9,0.15,-0.326,4.53,5.1,2.07949,44.8155,9.1,7.044,8.85598,Super Earth
HD 15337 c,1,2,17.1784,0.1268,2.39,0.213,8.11,0.02552,Mass,3.23,0.05,29.18,642,88.5,31.87,0.0256,K1 V,5125,0.86,0.9,0.15,-0.326,4.53,5.1,2.07949,44.8155,9.1,7.044,8.85598,Super Earth
HD 156668 b,1,2,4.6455,0.05,1.87,0.167,4.15,0.013,Msini,3.49,0,,,,,,K2,4850,0.72,0.77,0.05,0.23,4.6,8.6,2.53285,24.3323,8.43,6.004,8.10753,Super Earth
HD 158259 b,1,5,2.178,0.033737,1.285,0.115,2.22,0.00698,Msini,6.12,,802.73,1482,,,,G0,5801.89,1.21,1.08,,0.212,4.25,,0.72532,27.0498,6.47915,4.965,6.30694,Super Earth
HD 164922 d,1,4,12.458,0.103,1.83,0.163,4,0.01259,Msini,3.59,0.12,,,,,,G9 V,5390,0.95,0.93,0.18,-0.149,4.46,9.58,1.32024,22.0016,7.01227,5.113,6.78614,Super Earth
HD 20329 b,1,1,0.926118,0.018,1.72,0.153,7.42,0.02335,Mass,8.06,0,3474,2141,76.01,3.42,0.0139,,5596,1.13,0.9,-0.07,0.049,4.4,11,0.88,63.6796,8.76,7.116,8.59089,Super Earth
HD 207496 b,1,1,6.441008,0.0629,2.25,0.201,6.1,0.01919,Mass,3.17,0.231,72.9,743,88.79,21.47,0.02663,K2.5 V,4819,0.77,0.8,0.095,-0.509,4.51,0.52,2.49539,23.606,8.23,5.967,7.97255,Super Earth
HD 20781 b,2,5,5.3135,0.0529,1.21,0.108,1.93,0.0061,Msini,5.99,0.1,,,,,,K0 V,5256,0.83,0.7,-0.11,-0.31,4.37,,1.96197,35.9715,8.48,6.553,8.2372,Super Earth
HD 207897 b,1,1,16.202159,0.1163,2.501,0.223,14.4,0.04531,Mass,5.05,0.047,26.5,632,88.757,32.13,0.02943,K0 V,5070,0.78,0.8,-0.042,-0.444,4.56,7.1,2.39,28.2938,8.37,6.312,8.13037,Super Earth
HD 20794 b,1,4,18.315,0.1207,1.45,0.129,2.7,0.0085,Msin(i)/sin(i),4.87,0,,660,90,,,G8 V,5401,0.92,0.7,-0.4,-0.163,4.22,5.76,1.70389,6.00278,4.26,2.636,4.06635,Super Earth
HD 20794 c,1,4,40.114,0.2036,1.35,0.121,2.4,0.0076,Msin(i)/sin(i),5.36,0,,508,90,,,G8 V,5401,0.92,0.7,-0.4,-0.163,4.22,5.76,1.70389,6.00278,4.26,2.636,4.06635,Super Earth
HD 20794 d,1,4,90.309,0.3499,2.04,0.182,4.8,0.015,Msin(i)/sin(i),3.11,0,,388,90,,,G8 V,5401,0.92,0.7,-0.4,-0.163,4.22,5.76,1.70389,6.00278,4.26,2.636,4.06635,Super Earth
HD 20794 e,1,4,147.02,0.509,2.03,0.181,4.77,0.01501,Msini,3.13,0.29,,,,,,G8,5401,0.92,0.81,-0.403,-0.163,4.46,5.76,1.70389,6.00278,4.26,2.636,4.06635,Super Earth
HD 213885 b,1,2,1.008035,0.02012,1.745,0.156,8.83,0.02778,Mass,9.15,0,3253.81,2128,80.09,3.927,0.01453,G,5978,1.1,1.07,-0.04,0.139,4.38,3.8,1.127,48.0883,7.95,6.419,7.80173,Super Earth
HD 215152 b,1,4,5.75999,0.057638,1.19,0.106,1.819,0.00572,Msini,5.93,0,,,,,,K3 V,4935,0.73,0.77,-0.1,-0.523,4.4,,2.39889,21.5974,8.11,5.775,7.80163,Super Earth
HD 215152 c,1,4,7.28243,0.067393,1.17,0.105,1.72,0.00541,Msini,5.9,0,,,,,,K3 V,4935,0.73,0.77,-0.1,-0.523,4.4,,2.39889,21.5974,8.11,5.775,7.80163,Super Earth
HD 215152 d,1,4,10.86499,0.08799,1.48,0.132,2.801,0.00881,Msini,4.75,0,,,,,,K3 V,4935,0.73,0.77,-0.1,-0.523,4.4,,2.39889,21.5974,8.11,5.775,7.80163,Super Earth
HD 215152 e,1,4,25.1967,0.15417,1.51,0.134,2.877,0.00905,Msini,4.59,0,,,,,,K3 V,4935,0.73,0.77,-0.1,-0.523,4.4,,2.39889,21.5974,8.11,5.775,7.80163,Super Earth
HD 21749 c,1,2,7.78993,0.0695,0.892,0.08,3.7,0.01164,Mass,31.93,,42.63,701,88.9,21.8,0.01196,K4.5,4640,0.7,0.73,0.003,-0.686,4.61,3.8,3.03,16.32,8.08,5.375,7.67906,Super Earth
HD 219134 b,1,6,3.092926,0.03876,1.602,0.143,4.74,0.01491,Mass,6.34,0,176.2,1015,85.05,,0.01806,K3 V,4699,0.78,0.81,0.11,-0.577,4.57,11,2.438,6.53127,5.56911,3.261,5.2402,Super Earth
HD 219134 c,1,6,6.76458,0.0653,1.511,0.135,4.36,0.01372,Mass,6.95,0.062,62.1,782,87.28,,0.01776,K3 V,4699,0.78,0.81,0.11,-0.577,4.57,11,2.438,6.53127,5.56911,3.261,5.2402,Super Earth
HD 219134 d,1,6,46.859,0.237,1.61,0.144,16.17,0.05088,Mass,,0.138,4.72,410,,,,K3 V,4699,0.78,0.81,0.11,-0.577,4.57,11,2.438,6.53127,5.56911,3.261,5.2402,Super Earth
HD 219134 f,1,6,22.717,0.1463,1.31,0.117,7.3,0.02297,Mass,,0.148,12.38,523,,,,K3 V,4699,0.78,0.81,0.11,-0.577,4.57,11,2.438,6.53127,5.56911,3.261,5.2402,Super Earth
HD 23472 b,1,5,17.667087,0.1162,2,0.178,8.32,0.02618,Mass,6.15,0.072,16,543,88.93,37.1,0.02597,K4 V,4684,0.71,0.67,-0.2,-0.625,4.53,,2.70687,39.0341,9.73,7.207,9.38476,Super Earth
HD 23472 c,1,5,29.79749,0.1646,1.87,0.167,3.41,0.01073,Mass,3.1,0.063,7.96,467,89.095,50.2,0.0243,K4 V,4684,0.71,0.67,-0.2,-0.625,4.53,,2.70687,39.0341,9.73,7.207,9.38476,Super Earth
HD 23472 d,1,5,3.97664,0.04298,0.75,0.067,0.55,0.00173,Mass,7.5,0.07,117,909,87.95,13.29,0.00975,K4 V,4684,0.71,0.67,-0.2,-0.625,4.53,,2.70687,39.0341,9.73,7.207,9.38476,Terrestrial
HD 23472 e,1,5,7.90754,0.068,0.818,0.073,0.72,0.00227,Mass,7.5,0.07,46.7,723,88.63,21,0.01065,K4 V,4684,0.71,0.67,-0.2,-0.625,4.53,,2.70687,39.0341,9.73,7.207,9.38476,Terrestrial
HD 23472 f,1,5,12.1621839,0.0906,1.137,0.101,0.77,0.00242,Mass,3,0.07,26.3,630,88.81,28,0.01478,K4 V,4684,0.71,0.67,-0.2,-0.625,4.53,,2.70687,39.0341,9.73,7.207,9.38476,Super Earth
HD 235088 b,1,1,7.4341393,0.072,2.045,0.182,4.84,0.0152,M-R relationship,3.11,,70,805,88.75,19.62,0.02375,K2 V,5037,0.79,0.84,-0.01,-0.443,4.63,0.7,2.48688,41.1706,9.19,7.084,8.94271,Super Earth
