pl_name,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor,pl_ratror,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,pl_class
Kepler-730 c,1,2,2.85188338,0.03997,1.569,0.14,3.09,0.00971,M-R relationship,4.39,0,903.77,1607,83.81,6.1,0.01025,,5620,1.41,1.05,0.21,0.236,4.16,9.5,0.529,1935.04,15.782,14.102,15.6113,Super Earth
Kepler-732 c,1,2,0.89304124,0.0143,1.27,0.113,2.15,0.00678,M-R relationship,5.77,0,199.85,893,89.92,6.357,0.02547,,3631,0.46,0.49,-0.01,-1.375,4.79,4.47,5.14049,174.826,16.53,11.721,15.0519,Super Earth
Kepler-737 b,1,1,28.59915399,0.1422,1.96,0.175,4.5,0.0142,M-R relationship,3.28,0,2.3,298,89.99,61.92,0.03745,,3813,0.48,0.51,-0.24,-1.301,4.77,3.89,5.23896,205.118,15.971,12.097,15.1457,Super Earth
Kepler-743 b,2,1,3.17926292,0.0418,1.21,0.108,1.92,0.00606,M-R relationship,5.96,0,397.25,1101,89.59,23.67,0.0132,,5486,0.85,0.94,0.01,-0.176,4.55,1.86,1.6861,278.987,12.66,10.777,12.5411,Super Earth
Kepler-744 b,1,1,12.06222443,0.0993,1.62,0.145,3.26,0.0102,M-R relationship,4.21,0,62.95,750,89.47,42.2,0.0161,,5594,0.93,0.94,0,-0.222,4.48,5.13,9.7949,449.964,13.718,11.931,13.5843,Super Earth
Kepler-746 b,1,1,3.48159251,0.0435,1.11,0.099,1.41,0.00444,M-R relationship,5.67,0,421.61,1156,89.71,14.843,0.01084,,5418,0.93,0.91,0.09,-0.172,4.46,8.71,5.1037,450,13.785,11.815,13.6111,Super Earth
Kepler-750 c,1,2,4.08899022,0.0533,1.62,0.145,3.26,0.0102,M-R relationship,4.21,0,778.59,1537,87.39,8.84,0.01236,,6160,1.23,1.15,0.03,0.344,4.32,3.09,0.627,1296.02,14.634,13.103,14.467,Super Earth
Kepler-753 b,1,1,5.74772501,0.054,1.91,0.17,4.31,0.0136,M-R relationship,3.4,0,41.67,641,88.33,12.6,0.0267,,4346,0.65,0.68,-0.03,-0.865,4.65,3.63,4.41767,274.767,14.891,11.875,14.4746,Super Earth
Kepler-754 b,1,1,14.5596237,0.116,2.01,0.179,4.7,0.0148,M-R relationship,3.18,0,216.47,758,89.93,20.086,0.0167,,5935,1.08,1.06,0.05,0.416,4.39,3.8,0.72319,1770.27,15.352,13.516,15.1258,Super Earth
Kepler-755 b,2,2,1.26909037,0.0214,1.76,0.157,3.75,0.0118,M-R relationship,3.78,0,889.89,1331,86.18,3.01,0.02119,,5043,0.77,0.82,-0.01,-0.457,4.58,4.9,2.78725,399.034,14.277,11.879,14.0242,Super Earth
Kepler-755 c,2,2,2.85313364,0.0367,1.26,0.112,2.13,0.00669,M-R relationship,5.85,0,302.57,1016,86.37,9.1,0.01534,,5043,0.77,0.82,-0.01,-0.457,4.58,4.9,7.67757,399.034,14.277,11.879,14.0242,Super Earth
